id,name,club,year
193004,Waldemar Anton,79,2020
193534,Hamadi Al-Ghaddioui,79,2020
195246,Pascal Stenzel,79,2020
232320,Atakan Karazor,79,2020
257814,Gregor Kobel,79,2020
289592,Orel Mangala,79,2020
293194,Borna Sosa,79,2020
363424,Luca Mack,79,2020
369567,Sasa Kalajdzic,79,2020
386786,Darko Churlinov,79,2020
405674,Antonis Aidonis,79,2020
415912,Konstantinos Mavropanos,79,2020
431561,Roberto Massimo,79,2020
470594,Clinton Mola,79,2020
472243,Lilian Egloff,79,2020
486031,Nicolás González,79,2020
538971,Naouirou Ahamada,79,2020
540302,Mateo Klimowicz,79,2020
572919,Mohamed Sankoh,79,2020
612826,Silas,79,2020
618425,Tanguy Coulibaly,79,2020
768384,Momo Cissé,79,2020
18684,Marc Schnatterer,2036,2020
31599,Norman Theuerkauf,2036,2020
43824,Kevin Müller,2036,2020
57796,Vitus Eicher,2036,2020
81694,Konstantin Kerschbaumer,2036,2020
93563,Andreas Geipl,2036,2020
94030,Denis Thomalla,2036,2020
109436,Oliver Hüsing,2036,2020
117478,Marnon Busch,2036,2020
119120,Robert Leipertz,2036,2020
120301,Maximilian Thiel,2036,2020
133731,Patrick Mainka,2036,2020
153661,Tobias Mohr,2036,2020
156710,Oliver Steurer,2036,2020
184204,Christian Kühlwetter,2036,2020
191359,Florian Pick,2036,2020
192169,Jonas Föhrenbach,2036,2020
193033,Tim Kleindienst,2036,2020
251295,Dzenis Burnic,2036,2020
307845,Marvin Rittmüller,2036,2020
394033,Stefan Schimmer,2036,2020
422267,Gianni Mollo,2036,2020
448028,Kevin Sessa,2036,2020
448705,Diant Ramaj,2036,2020
460384,Kevin Ibrahim,2036,2020
478423,Melvin Ramusovic,2036,2020
521174,Julian Stark,2036,2020
581357,Jan Schöppner,2036,2020
124416,Patrick Schmidt,2036,2020
196843,Merveille Biankadi,2036,2020
362184,David Otto,2036,2020
42072,Tobias Kempe,105,2020
44713,Christian Clemens,105,2020
48968,Mathias Wittek,105,2020
54846,Fabian Holland,105,2020
57101,Patrick Herrmann,105,2020
77920,Immanuel Höhn,105,2020
80059,Serdar Dursun,105,2020
93651,Marcel Schuhen,105,2020
94148,Fabian Schnellhardt,105,2020
97241,Victor Pálsson,105,2020
124402,Erich Berko,105,2020
148096,Florian Stritzel,105,2020
161057,Carl Klaus,105,2020
183446,Samuele Campo,105,2020
185427,Nicolai Rapp,105,2020
187499,Aaron Seydel,105,2020
195782,Felix Platte,105,2020
237162,Matthias Bader,105,2020
237226,Marvin Mehlem,105,2020
283497,Mathias Honsak,105,2020
287920,Tim Skarke,105,2020
317753,Silas Zehnder,105,2020
322075,Thomas Isherwood,105,2020
345780,Lukas Mai,105,2020
389078,Adrian Stanilewicz,105,2020
391742,Patric Pfeiffer,105,2020
718467,Ensar Arslan,105,2020
736973,Henry Jon Crosthwaite,105,2020
815044,Alexander Vogler,105,2020
231590,Braydon Manu,105,2020
282689,Seung-ho Paik,105,2020
692084,John Peter Sesay,105,2020
